product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1/2 BSPT Male X 3/8 BSPP Female Swivel,13.98,B1MFS-08-06,157,B1MFS,,,,,1/2,3/8,,,,2,6-Aug,,,,,,,,
,1/2 BSPT Male X 1/2 BSPP Female Swivel,8.8,B1MFS-08-08,219,B1MFS,,,,,1/2,1/2,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPP Female Swivel,22.5,B1MFS-08-12,60,B1MFS,,,,,1/2,3/4,,,,2,12-Aug,,,,,,,,
,1/2 BSPT Male X 1-0 BSPP Female Swivel,28.45,B1MFS-08-16,10,B1MFS,,,,,1/2,1,,,,2,16-Aug,,,,,,,,
,3/4 BSPT Male X 1/2 BSPP Female Swivel,12.3,B1MFS-12-08,62,B1MFS,,,,,3/4,1/2,,,,2,8-Dec,,,,,,,,
,3/4 BSPT Male X 3/4 BSPP Female Swivel,14.05,B1MFS-12-12,199,B1MFS,,,,,3/4,3/4,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPP Female Swivel,21.15,B1MFS-12-16,409,B1MFS,,,,,3/4,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Male X 3/4 BSPP Female Swivel,21.1,B1MFS-16-12,13,B1MFS,,,,,1,3/4,,,,2,16-12,,,,,,,,
,1-0 BSPT Male X 1-0 BSPP Female Swivel,19.75,B1MFS-16-16,300,B1MFS,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPP Female Swivel,42.9,B1MFS-16-20,4,B1MFS,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Male X 1-0 BSPP Female Swivel,42.9,B1MFS-20-16,7,B1MFS,,,,,1 1/4,1,,,,2,20-16,,,,,,,,
,1-1/4 BSPT Male X1-1/4 BSPP FemaleSwivel,52.94,B1MFS-20-20,23,B1MFS,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/4 BSPT MaleX1-1/2 BSPP Female Swivel,180.5,B1MFS-20-24,0,B1MFS,,,,,1 1/4,1 1/2,,,,2,20-24,,,,,,,,
,1-1/2 BSPT MaleX1-1/2 BSPP Female Swivel,73.65,B1MFS-24-24,23,B1MFS,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Male X 2.0 BSPP Female Swivel,124.65,B1MFS-32-32,6,B1MFS,,,,,2,2,,,,2,32-32,,,,,,,,
B1MFS-TP,,0,,0,,,,BSPT Male X BSPP Female Swivel X BSPP Test Port,,BPST M,BSPP F,BSPP F,,,0,2,http://localhost/truflow/public/admin/images/csv_product_img/B1MFS-TP.jpg,Hydraulic , Diagnostics , Test Couplings , Adaptors ,In Line Test Ports,,
,1-0 BSPT Male X 1-0 BSPP Female X 1/8 BSPP Test Port,42.7,B1MFS-16-16TP,0,B1MFS-TP,,,,,1,1,1/8,,,2,16-16TP,,,,,,,,
B3F,,0,,0,,,,BSPT Female Tee,,BSPT F,BSPT F,BSPT F,,,0,13810,http://localhost/truflow/public/admin/images/csv_product_img/B3F.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPT Female Tee,13.5,B3F-02-02-02,338,B3F,,,,,1/8,1/8,1/8,,,2,2/2/2002,,,,,,,,
,1/4 BSPT Female Tee,11.25,B3F-04-04-04,514,B3F,,,,,1/4,1/4,1/4,,,2,4/4/2004,,,,,,,,
,3/8 BSPT Female Tee,14.75,B3F-06-06-06,192,B3F,,,,,3/8,3/8,3/8,,,2,6/6/2006,,,,,,,,
,1/2 BSPT Female Tee,21.6,B3F-08-08-08,286,B3F,,,,,1/2,1/2,1/2,,,2,8/8/2008,,,,,,,,
,3/4 BSPT Female Tee,30,B3F-12-12-12,742,B3F,,,,,3/4,3/4,3/4,,,2,12/12/2012,,,,,,,,
,1-0  BSPT Female Tee,54,B3F-16-16-16,169,B3F,,,,,1,1,1,,,2,16-16-16,,,,,,,,
,1-1/4 BSPT Female Tee,92.95,B3F-20-20-20,8,B3F,,,,,1 1/4,1 1/4,1 1/4,,,2,20-20-20,,,,,,,,
,1-1/2 BSPT Female Tee,129.5,B3F-24-24-24,84,B3F,,,,,1 1/2,1 1/2,1 1/2,,,2,24-24-24,,,,,,,,
,2-0  BSPT Female Tee,195,B3F-32-32-32,118,B3F,,,,,2,2,2,,,2,32-32-32,,,,,,,,
B3FMR,,0,,0,,,,BSPT Female X BSPT Female X BSPT Male (Run)Tee,,BSPT F,BSPT F,BSPT M,,,0,13820,http://localhost/truflow/public/admin/images/csv_product_img/B3FMR.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPTF X1/8 BSPTF X1/8 BSPTM(Run)Tee,11.1,B3FMR-02-02-02,13,B3FMR,,,,,1/8,1/8,1/8,,,2,2/2/2002,,,,,,,,
,1/4 BSPTFX1/4 BSPTFX1/4 BSPTM(Run)Tee,30.24,B3FMR-04-04-04,33,B3FMR,,,,,1/4,1/4,1/4,,,2,4/4/2004,,,,,,,,
,3/8 BSPTF X3/8 BSPTF X 3/8 BSPTM(Run)Tee,15.85,B3FMR-06-06-06,9,B3FMR,,,,,3/8,3/8,3/8,,,2,6/6/2006,,,,,,,,
,1/2 BSPTFX1/2 BSPTFX1/2 BSPTM(Run)Tee,42.71,B3FMR-08-08-08,14,B3FMR,,,,,1/2,1/2,1/2,,,2,8/8/2008,,,,,,,,
,3/4 BSPTFX3/4 BSPTFX3/4 BSPTM(Run)Tee,111.55,B3FMR-12-12-12,7,B3FMR,,,,,3/4,3/4,3/4,,,2,12/12/2012,,,,,,,,
,1-0 BSPTF X 1-0 BSPTF X 1-0 BSPTM(Run)Tee,74.35,B3FMR-16-16-16,29,B3FMR,,,,,1,1,1,,,2,16-16-16,,,,,,,,
,1-1/4 BSPTF X 1-1/4 BSPTF X 1-1/4 BSPTM(Run)Tee,204.2,B3FMR-20-20-20,3,B3FMR,,,,,1 1/4,1 1/4,1 1/4,,,2,20-20-20,,,,,,,,
B3FSML,,0,,0,,,,BSPP Female Swivel X BSPP Female Swivel X BSPT Male (Leg) Tee,,BSPP F,BSPP F,BSPT M,,,0,13830,http://localhost/truflow/public/admin/images/csv_product_img/B3FSML.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
